Indicator,Country,Time,Value,Flags
Percentage of students in upper secondary education who are female (%),Cabo Verde,2001,51.1539,
Percentage of students in upper secondary education who are female (%),Cabo Verde,2002,51.78986,
Percentage of students in upper secondary education who are female (%),Cabo Verde,2003,51.38737,
Percentage of students in upper secondary education who are female (%),Cabo Verde,2004,51.34656,
Percentage of students in upper secondary education who are female (%),Cabo Verde,2005,52.71282,
Percentage of students in upper secondary education who are female (%),Cabo Verde,2006,54.87219,
Percentage of students in upper secondary education who are female (%),Cabo Verde,2007,56.20164,
Percentage of students in upper secondary education who are female (%),Cabo Verde,2008,53.14243,
Percentage of students in upper secondary education who are female (%),Cabo Verde,2009,56.39705,
Percentage of students in upper secondary education who are female (%),Cabo Verde,2010,56.9569,
Percentage of students in upper secondary education who are female (%),Cabo Verde,2011,56.95157,
Percentage of students in upper secondary education who are female (%),Cabo Verde,2012,56.71594,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,1999,52.55742,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2000,52.83608,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2001,52.88758,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2002,51.46136,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2003,54.02313,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2004,53.71113,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2005,53.39703,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2006,53.23505,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2007,52.67586,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2008,52.31819,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2009,53.2906,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2010,53.07467,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2011,53.14818,
Percentage of students in post-secondary non-tertiary education who are female (%),Developed countries,2012,53.56799,
Percentage of students in primary education who are female (%),High income countries,1999,48.6987,
Percentage of students in primary education who are female (%),High income countries,2000,48.39895,
Percentage of students in primary education who are female (%),High income countries,2001,48.51446,
Percentage of students in primary education who are female (%),High income countries,2002,48.59326,
Percentage of students in primary education who are female (%),High income countries,2003,48.57745,
Percentage of students in primary education who are female (%),High income countries,2004,48.5384,
Percentage of students in primary education who are female (%),High income countries,2005,48.51376,
Percentage of students in primary education who are female (%),High income countries,2006,48.68267,
Percentage of students in primary education who are female (%),High income countries,2007,48.60485,
Percentage of students in primary education who are female (%),High income countries,2008,48.64355,
Percentage of students in primary education who are female (%),High income countries,2009,48.68282,
Percentage of students in primary education who are female (%),High income countries,2010,48.61467,
Percentage of students in primary education who are female (%),High income countries,2011,48.75185,
Percentage of students in primary education who are female (%),High income countries,2012,48.64046,
Percentage of students in primary education who are female (%),United Arab Emirates,1999,48.0291,
Percentage of students in primary education who are female (%),United Arab Emirates,2000,47.85534,
Percentage of students in primary education who are female (%),United Arab Emirates,2001,47.97822,
Percentage of students in primary education who are female (%),United Arab Emirates,2002,48.0556,
Percentage of students in primary education who are female (%),United Arab Emirates,2003,48.27999,
Percentage of students in primary education who are female (%),United Arab Emirates,2004,48.34251,
Percentage of students in primary education who are female (%),United Arab Emirates,2005,48.49452,
Percentage of students in primary education who are female (%),United Arab Emirates,2006,48.54754,
Percentage of students in primary education who are female (%),United Arab Emirates,2007,48.51391,
Percentage of students in primary education who are female (%),United Arab Emirates,2009,48.15678,
Percentage of students in primary education who are female (%),United Arab Emirates,2010,48.58966,
Percentage of students in primary education who are female (%),United Arab Emirates,2011,48.63684,
Percentage of students in primary education who are female (%),United Arab Emirates,2012,48.60735,
Percentage of students in upper secondary education who are female (%),Burundi,2000,37.35326,ﾇ
Percentage of students in upper secondary education who are female (%),Burundi,2001,38.83792,
Percentage of students in upper secondary education who are female (%),Burundi,2002,44.6742,
Percentage of students in upper secondary education who are female (%),Burundi,2003,41.08627,
Percentage of students in upper secondary education who are female (%),Burundi,2004,40.34641,
Percentage of students in upper secondary education who are female (%),Burundi,2005,39.69051,ﾇ
Percentage of students in upper secondary education who are female (%),Burundi,2006,39.15075,
Percentage of students in upper secondary education who are female (%),Burundi,2007,38.77304,
Percentage of students in upper secondary education who are female (%),Burundi,2009,38.59426,
Percentage of students in upper secondary education who are female (%),Burundi,2010,37.43026,
Percentage of students in upper secondary education who are female (%),Burundi,2011,38.38339,
Percentage of students in upper secondary education who are female (%),Burundi,2012,36.80111,
Percentage of students in primary education who are female (%),Tuvalu,1999,47.57353,
Percentage of students in primary education who are female (%),Tuvalu,2000,48.12129,
Percentage of students in primary education who are female (%),Tuvalu,2001,50.24527,
Percentage of students in primary education who are female (%),Tuvalu,2002,51.13016,
Percentage of students in primary education who are female (%),Tuvalu,2003,50.52083,
Percentage of students in primary education who are female (%),Tuvalu,2004,49.92877,
Percentage of students in primary education who are female (%),Tuvalu,2005,48.34483,
Percentage of students in primary education who are female (%),Tuvalu,2006,47.94521,
Percentage of students in secondary education who are female (%),British Virgin Islands,1999,46.79021,
Percentage of students in secondary education who are female (%),British Virgin Islands,2000,50.29164,ﾇ
Percentage of students in secondary education who are female (%),British Virgin Islands,2001,50.29164,
Percentage of students in secondary education who are female (%),British Virgin Islands,2002,50.47081,
Percentage of students in secondary education who are female (%),British Virgin Islands,2003,53.70484,
Percentage of students in secondary education who are female (%),British Virgin Islands,2004,52.13825,
Percentage of students in secondary education who are female (%),British Virgin Islands,2005,54.19766,
Percentage of students in secondary education who are female (%),British Virgin Islands,2006,53.03726,
Percentage of students in secondary education who are female (%),British Virgin Islands,2007,53.77408,
Percentage of students in secondary education who are female (%),British Virgin Islands,2009,51.59629,
Percentage of students in secondary education who are female (%),British Virgin Islands,2010,50.46821,
Percentage of students in secondary education who are female (%),British Virgin Islands,2011,49.76599,
Percentage of students in lower secondary education who are female (%),Chile,1999,49.22841,
Percentage of students in lower secondary education who are female (%),Chile,2000,48.9024,
Percentage of students in lower secondary education who are female (%),Chile,2002,49.03577,
Percentage of students in lower secondary education who are female (%),Chile,2003,48.90402,
Percentage of students in lower secondary education who are female (%),Chile,2004,48.73821,
Percentage of students in lower secondary education who are female (%),Chile,2005,48.57033,
Percentage of students in lower secondary education who are female (%),Chile,2006,48.4833,
Percentage of students in lower secondary education who are female (%),Chile,2007,48.70354,
Percentage of students in lower secondary education who are female (%),Chile,2008,48.68408,
Percentage of students in lower secondary education who are female (%),Chile,2009,48.67709,
Percentage of students in lower secondary education who are female (%),Chile,2010,49.01103,
Percentage of students in lower secondary education who are female (%),Chile,2011,49.13594,
Percentage of students in lower secondary education who are female (%),Chile,2012,49.21426,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,1999,29.375,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,2000,25.18892,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,2001,27.46479,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,2002,26.08696,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,2003,40.3255,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,2004,26.37363,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,2005,45.02618,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,2006,55.35714,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,2007,43.94904,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,2008,34.68468,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,2009,28.95753,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,2010,34.23423,
Percentage of students in post-secondary non-tertiary education who are female (%),Iceland,2011,39.70588,
Percentage of students in secondary education who are female (%),Israel,1999,48.51455,
Percentage of students in secondary education who are female (%),Israel,2000,48.72421,
Percentage of students in secondary education who are female (%),Israel,2001,48.57556,
Percentage of students in secondary education who are female (%),Israel,2002,48.4918,
Percentage of students in secondary education who are female (%),Israel,2003,48.3458,
Percentage of students in secondary education who are female (%),Israel,2004,48.8456,
Percentage of students in secondary education who are female (%),Israel,2005,48.78359,
Percentage of students in secondary education who are female (%),Israel,2006,48.79161,
Percentage of students in secondary education who are female (%),Israel,2007,48.91684,
Percentage of students in secondary education who are female (%),Israel,2008,49.18394,
Percentage of students in secondary education who are female (%),Israel,2009,49.24533,
Percentage of students in secondary education who are female (%),Israel,2010,49.26208,
Percentage of students in secondary education who are female (%),Israel,2011,49.13573,
Percentage of students in lower secondary education who are female (%),Sweden,1999,49.98395,
Percentage of students in lower secondary education who are female (%),Sweden,2000,49.86331,
Percentage of students in lower secondary education who are female (%),Sweden,2001,49.8595,
Percentage of students in lower secondary education who are female (%),Sweden,2002,49.81453,
Percentage of students in lower secondary education who are female (%),Sweden,2003,49.77368,
Percentage of students in lower secondary education who are female (%),Sweden,2004,48.64623,
Percentage of students in lower secondary education who are female (%),Sweden,2005,48.53995,
Percentage of students in lower secondary education who are female (%),Sweden,2006,48.52086,
Percentage of students in lower secondary education who are female (%),Sweden,2007,48.50217,
Percentage of students in lower secondary education who are female (%),Sweden,2008,48.6361,
Percentage of students in lower secondary education who are female (%),Sweden,2009,48.51808,
Percentage of students in lower secondary education who are female (%),Sweden,2010,48.47945,
Percentage of students in lower secondary education who are female (%),Sweden,2011,48.24263,
Percentage of students in lower secondary education who are female (%),Sweden,2012,48.36117,
Percentage of students in lower secondary education who are female (%),Oceania,1999,48.49556,
Percentage of students in lower secondary education who are female (%),Oceania,2000,48.34298,
Percentage of students in lower secondary education who are female (%),Oceania,2001,48.04767,
Percentage of students in lower secondary education who are female (%),Oceania,2002,47.93728,
Percentage of students in lower secondary education who are female (%),Oceania,2003,47.91867,
Percentage of students in lower secondary education who are female (%),Oceania,2004,47.7312,
Percentage of students in lower secondary education who are female (%),Oceania,2005,47.75436,
Percentage of students in lower secondary education who are female (%),Oceania,2006,47.53136,
Percentage of students in lower secondary education who are female (%),Oceania,2007,47.66736,
Percentage of students in lower secondary education who are female (%),Oceania,2008,47.6594,
Percentage of students in lower secondary education who are female (%),Oceania,2009,47.28428,
Percentage of students in lower secondary education who are female (%),Oceania,2010,46.8984,
Percentage of students in lower secondary education who are female (%),Oceania,2011,46.82284,
Percentage of students in lower secondary education who are female (%),Oceania,2012,47.34499,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,1999,48.77962,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2000,48.84358,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2001,48.88425,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2002,48.9209,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2003,48.89722,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2004,48.67763,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2005,48.69633,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2006,48.92391,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2007,48.85196,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2008,47.93959,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2009,47.89547,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2010,47.8714,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2011,47.86321,
Percentage of students in lower secondary education who are female (%),United Kingdom of Great Britain and Northern Ireland,2012,47.78355,
Percentage of students in upper secondary education who are female (%),Dominican Republic,1999,56.09117,
Percentage of students in upper secondary education who are female (%),Dominican Republic,2000,55.71143,
Percentage of students in upper secondary education who are female (%),Dominican Republic,2002,55.26714,
Percentage of students in upper secondary education who are female (%),Dominican Republic,2004,54.63553,
Percentage of students in upper secondary education who are female (%),Dominican Republic,2005,55.00044,
Percentage of students in upper secondary education who are female (%),Dominican Republic,2007,55.38729,
Percentage of students in upper secondary education who are female (%),Dominican Republic,2008,54.96726,
Percentage of students in upper secondary education who are female (%),Dominican Republic,2009,53.99277,
Percentage of students in upper secondary education who are female (%),Dominican Republic,2010,53.84876,
Percentage of students in upper secondary education who are female (%),Dominican Republic,2011,53.75853,
Percentage of students in upper secondary education who are female (%),Dominican Republic,2012,53.36555,
Percentage of students in pre-primary education who are female (%),Antigua and Barbuda,2007,49.13719,
Percentage of students in pre-primary education who are female (%),Antigua and Barbuda,2008,48.93888,
Percentage of students in pre-primary education who are female (%),Antigua and Barbuda,2010,48.76592,
Percentage of students in pre-primary education who are female (%),Antigua and Barbuda,2011,51.06645,
Percentage of students in pre-primary education who are female (%),Antigua and Barbuda,2012,48.57473,
Percentage of students in primary education who are female (%),Indonesia,2001,48.62186,
Percentage of students in primary education who are female (%),Indonesia,2002,48.62113,
Percentage of students in primary education who are female (%),Indonesia,2003,48.67859,
Percentage of students in primary education who are female (%),Indonesia,2004,48.72238,
Percentage of students in primary education who are female (%),Indonesia,2005,48.26,ﾇ
Percentage of students in primary education who are female (%),Indonesia,2006,48.23694,
Percentage of students in primary education who are female (%),Indonesia,2007,48.0562,
Percentage of students in primary education who are female (%),Indonesia,2008,48.44783,
Percentage of students in primary education who are female (%),Indonesia,2009,48.26759,
Percentage of students in primary education who are female (%),Indonesia,2010,49.52885,
Percentage of students in primary education who are female (%),Indonesia,2011,49.51251,
Percentage of students in primary education who are female (%),Indonesia,2012,48.49679,
Percentage of students in secondary education who are female (%),Romania,1999,49.34372,
Percentage of students in secondary education who are female (%),Romania,2000,49.37298,
Percentage of students in secondary education who are female (%),Romania,2001,49.34325,
Percentage of students in secondary education who are female (%),Romania,2002,49.39218,
Percentage of students in secondary education who are female (%),Romania,2003,49.38993,
Percentage of students in secondary education who are female (%),Romania,2004,49.28158,
Percentage of students in secondary education who are female (%),Romania,2005,49.23226,
Percentage of students in secondary education who are female (%),Romania,2006,49.03101,
Percentage of students in secondary education who are female (%),Romania,2007,48.71036,
Percentage of students in secondary education who are female (%),Romania,2008,48.59491,
Percentage of students in secondary education who are female (%),Romania,2009,48.62034,
Percentage of students in secondary education who are female (%),Romania,2010,48.45893,
Percentage of students in secondary education who are female (%),Romania,2011,48.34374,
Percentage of students in secondary education who are female (%),Romania,2012,48.36893,
Percentage of students in primary education who are female (%),Developing countries,1999,46.26099,
Percentage of students in primary education who are female (%),Developing countries,2000,46.3213,
Percentage of students in primary education who are female (%),Developing countries,2001,46.42187,
Percentage of students in primary education who are female (%),Developing countries,2002,46.43406,
Percentage of students in primary education who are female (%),Developing countries,2003,47.00527,
Percentage of students in primary education who are female (%),Developing countries,2004,46.96645,ﾇ
Percentage of students in primary education who are female (%),Developing countries,2005,47.04636,ﾇ
Percentage of students in primary education who are female (%),Developing countries,2006,47.1283,
Percentage of students in primary education who are female (%),Developing countries,2007,47.19585,
Percentage of students in primary education who are female (%),Developing countries,2008,47.38832,
Percentage of students in primary education who are female (%),Developing countries,2009,47.48498,
Percentage of students in primary education who are female (%),Developing countries,2010,47.54741,
Percentage of students in primary education who are female (%),Developing countries,2011,47.54568,
Percentage of students in primary education who are female (%),Developing countries,2012,47.54951,ﾇ
Percentage of students in post-secondary non-tertiary education who are female (%),Solomon Islands,1999,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Solomon Islands,2000,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Solomon Islands,2001,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Solomon Islands,2002,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Solomon Islands,2005,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Solomon Islands,2006,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Solomon Islands,2007,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Solomon Islands,2010,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Solomon Islands,2011,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Solomon Islands,2012,,a
Percentage of students in pre-primary education who are female (%),North America and Western Europe,1999,48.34401,
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2000,48.74639,
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2001,48.87814,ﾇ
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2002,48.94638,
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2003,48.5263,ﾇ
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2004,48.22948,
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2005,47.94478,
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2006,48.73149,
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2007,48.51534,
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2008,48.60561,
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2009,48.60912,
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2010,49.10176,
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2011,48.432,
Percentage of students in pre-primary education who are female (%),North America and Western Europe,2012,48.41018,
Percentage of students in secondary education who are female (%),Luxembourg,1999,49.86006,
Percentage of students in secondary education who are female (%),Luxembourg,2000,50.19396,
Percentage of students in secondary education who are female (%),Luxembourg,2001,50.39279,
Percentage of students in secondary education who are female (%),Luxembourg,2002,50.38193,
Percentage of students in secondary education who are female (%),Luxembourg,2003,50.2362,
Percentage of students in secondary education who are female (%),Luxembourg,2004,50.23858,
Percentage of students in secondary education who are female (%),Luxembourg,2005,50.40616,
Percentage of students in secondary education who are female (%),Luxembourg,2006,50.01216,
Percentage of students in secondary education who are female (%),Luxembourg,2007,49.84951,
Percentage of students in secondary education who are female (%),Luxembourg,2008,49.58703,
Percentage of students in secondary education who are female (%),Luxembourg,2010,49.52511,
Percentage of students in secondary education who are female (%),Luxembourg,2011,49.49858,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,1999,72.13373,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2000,67.86165,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2001,65.22321,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2002,63.41754,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2003,62.14109,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2004,58.43896,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2005,56.87721,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2006,53.89411,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2007,53.78547,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2008,51.46877,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2009,51.29474,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2010,51.49711,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2011,51.19708,
Percentage of students in post-secondary non-tertiary education who are female (%),Lithuania,2012,53.05489,
Percentage of students in secondary education who are female (%),Italy,1999,48.612,
Percentage of students in secondary education who are female (%),Italy,2000,47.77236,
Percentage of students in secondary education who are female (%),Italy,2001,48.13617,
Percentage of students in secondary education who are female (%),Italy,2002,47.82105,
Percentage of students in secondary education who are female (%),Italy,2003,48.0197,
Percentage of students in secondary education who are female (%),Italy,2004,48.48804,
Percentage of students in secondary education who are female (%),Italy,2005,48.43606,
Percentage of students in secondary education who are female (%),Italy,2006,48.38953,
Percentage of students in secondary education who are female (%),Italy,2007,48.34228,
Percentage of students in secondary education who are female (%),Italy,2008,48.33281,
Percentage of students in secondary education who are female (%),Italy,2009,48.36779,
Percentage of students in secondary education who are female (%),Italy,2010,48.28044,
Percentage of students in secondary education who are female (%),Italy,2011,48.15354,
Percentage of students in upper secondary education who are female (%),Oman,1999,51.20071,
Percentage of students in upper secondary education who are female (%),Oman,2000,51.21979,
Percentage of students in upper secondary education who are female (%),Oman,2001,51.54827,
Percentage of students in upper secondary education who are female (%),Oman,2002,50.98945,
Percentage of students in upper secondary education who are female (%),Oman,2003,50.10362,
Percentage of students in upper secondary education who are female (%),Oman,2005,48.95061,
Percentage of students in upper secondary education who are female (%),Oman,2006,48.01322,
Percentage of students in upper secondary education who are female (%),Oman,2007,47.91399,
Percentage of students in upper secondary education who are female (%),Oman,2008,47.68379,
Percentage of students in upper secondary education who are female (%),Oman,2009,48.25987,
Percentage of students in upper secondary education who are female (%),Oman,2011,48.56619,
Percentage of students in upper secondary education who are female (%),Oman,2012,48.76091,
Percentage of students in lower secondary education who are female (%),Eritrea,1999,43.70272,
Percentage of students in lower secondary education who are female (%),Eritrea,2000,44.78652,
Percentage of students in lower secondary education who are female (%),Eritrea,2001,45.86098,
Percentage of students in lower secondary education who are female (%),Eritrea,2002,42.86121,
Percentage of students in lower secondary education who are female (%),Eritrea,2003,42.35262,
Percentage of students in lower secondary education who are female (%),Eritrea,2004,40.03058,
Percentage of students in lower secondary education who are female (%),Eritrea,2005,38.83794,
Percentage of students in lower secondary education who are female (%),Eritrea,2006,38.79472,
Percentage of students in lower secondary education who are female (%),Eritrea,2007,42.06236,
Percentage of students in lower secondary education who are female (%),Eritrea,2008,41.84169,
Percentage of students in lower secondary education who are female (%),Eritrea,2009,42.4228,
Percentage of students in lower secondary education who are female (%),Eritrea,2010,44.11939,
Percentage of students in lower secondary education who are female (%),Eritrea,2011,44.38577,
Percentage of students in lower secondary education who are female (%),Eritrea,2012,44.55005,
Percentage of students in upper secondary education who are female (%),Aruba,1999,51.31983,
Percentage of students in upper secondary education who are female (%),Aruba,2000,51.33055,
Percentage of students in upper secondary education who are female (%),Aruba,2001,51.89873,
Percentage of students in upper secondary education who are female (%),Aruba,2002,52.70922,
Percentage of students in upper secondary education who are female (%),Aruba,2003,52.77702,
Percentage of students in upper secondary education who are female (%),Aruba,2004,51.98238,
Percentage of students in upper secondary education who are female (%),Aruba,2005,53.80642,
Percentage of students in upper secondary education who are female (%),Aruba,2006,53.77286,
Percentage of students in upper secondary education who are female (%),Aruba,2007,52.97968,
Percentage of students in upper secondary education who are female (%),Aruba,2008,51.55172,
Percentage of students in upper secondary education who are female (%),Aruba,2009,51.93662,
Percentage of students in upper secondary education who are female (%),Aruba,2010,52.54281,
Percentage of students in upper secondary education who are female (%),Aruba,2011,52.11587,
Percentage of students in upper secondary education who are female (%),Aruba,2012,51.57579,
Percentage of students in primary education who are female (%),Ireland,1999,48.52901,
Percentage of students in primary education who are female (%),Ireland,2000,48.49368,
Percentage of students in primary education who are female (%),Ireland,2001,48.5049,
Percentage of students in primary education who are female (%),Ireland,2002,48.53962,
Percentage of students in primary education who are female (%),Ireland,2003,48.48107,
Percentage of students in primary education who are female (%),Ireland,2004,48.47973,
Percentage of students in primary education who are female (%),Ireland,2005,48.50218,
Percentage of students in primary education who are female (%),Ireland,2006,48.48523,
Percentage of students in primary education who are female (%),Ireland,2007,48.53983,
Percentage of students in primary education who are female (%),Ireland,2008,48.74487,
Percentage of students in primary education who are female (%),Ireland,2009,48.81605,
Percentage of students in primary education who are female (%),Ireland,2010,48.81102,
Percentage of students in primary education who are female (%),Ireland,2011,48.71995,
Percentage of students in primary education who are female (%),Ireland,2012,48.82589,
Percentage of students in upper secondary education who are female (%),Grenada,2002,56.42728,
Percentage of students in upper secondary education who are female (%),Grenada,2003,50.97736,
Percentage of students in upper secondary education who are female (%),Grenada,2004,55.26873,
Percentage of students in upper secondary education who are female (%),Grenada,2005,52.90585,+
Percentage of students in upper secondary education who are female (%),Grenada,2009,54.76847,
Percentage of students in upper secondary education who are female (%),Grenada,2010,55.22809,
Percentage of students in upper secondary education who are female (%),Bahrain,1999,52.16992,
Percentage of students in upper secondary education who are female (%),Bahrain,2000,52.19978,
Percentage of students in upper secondary education who are female (%),Bahrain,2001,52.83164,
Percentage of students in upper secondary education who are female (%),Bahrain,2002,52.43272,
Percentage of students in upper secondary education who are female (%),Bahrain,2003,51.63508,
Percentage of students in upper secondary education who are female (%),Bahrain,2004,51.14335,
Percentage of students in upper secondary education who are female (%),Bahrain,2005,51.14141,
Percentage of students in upper secondary education who are female (%),Bahrain,2006,50.47611,
Percentage of students in upper secondary education who are female (%),Bahrain,2008,50.4695,
Percentage of students in upper secondary education who are female (%),Bahrain,2009,50.5462,
Percentage of students in upper secondary education who are female (%),Bahrain,2010,50.80713,
Percentage of students in upper secondary education who are female (%),Bahrain,2011,49.97171,
Percentage of students in upper secondary education who are female (%),Bahrain,2012,49.95174,
Percentage of students in lower secondary education who are female (%),Monaco,1999,48.44048,
Percentage of students in lower secondary education who are female (%),Monaco,2000,49.5625,
Percentage of students in lower secondary education who are female (%),Monaco,2001,46.5861,
Percentage of students in lower secondary education who are female (%),Monaco,2008,50.17564,
Percentage of students in lower secondary education who are female (%),Monaco,2009,47.80677,
Percentage of students in lower secondary education who are female (%),Monaco,2010,47.84979,
Percentage of students in lower secondary education who are female (%),Monaco,2011,47.38068,
Percentage of students in lower secondary education who are female (%),Monaco,2012,46.64756,
Percentage of students in upper secondary education who are female (%),Guatemala,1999,47.69603,
Percentage of students in upper secondary education who are female (%),Guatemala,2000,49.659,
Percentage of students in upper secondary education who are female (%),Guatemala,2001,50.29299,
Percentage of students in upper secondary education who are female (%),Guatemala,2002,50.21124,
Percentage of students in upper secondary education who are female (%),Guatemala,2004,50.75008,
Percentage of students in upper secondary education who are female (%),Guatemala,2005,50.34452,
Percentage of students in upper secondary education who are female (%),Guatemala,2006,50.44714,
Percentage of students in upper secondary education who are female (%),Guatemala,2007,50.46748,
Percentage of students in upper secondary education who are female (%),Guatemala,2008,50.74905,
Percentage of students in upper secondary education who are female (%),Guatemala,2009,50.06789,
Percentage of students in upper secondary education who are female (%),Guatemala,2010,49.68682,
Percentage of students in upper secondary education who are female (%),Guatemala,2011,49.52628,
Percentage of students in upper secondary education who are female (%),Yemen,1999,24.73273,
Percentage of students in upper secondary education who are female (%),Yemen,2001,26.65431,ﾇ
Percentage of students in upper secondary education who are female (%),Yemen,2003,28.84285,
Percentage of students in upper secondary education who are female (%),Yemen,2004,29.82576,
Percentage of students in upper secondary education who are female (%),Yemen,2005,30.53715,
Percentage of students in upper secondary education who are female (%),Yemen,2008,34.03983,ﾇ
Percentage of students in upper secondary education who are female (%),Yemen,2010,36.21794,
Percentage of students in upper secondary education who are female (%),Yemen,2011,37.21697,
Percentage of students in upper secondary education who are female (%),Yemen,2012,38.04359,
Percentage of students in primary education who are female (%),Bolivia (Plurinational State of),1999,48.69342,
Percentage of students in primary education who are female (%),Bolivia (Plurinational State of),2000,48.72934,
Percentage of students in primary education who are female (%),Bolivia (Plurinational State of),2001,48.75926,
Percentage of students in primary education who are female (%),Bolivia (Plurinational State of),2002,48.79108,
Percentage of students in primary education who are female (%),Bolivia (Plurinational State of),2003,48.90411,
Percentage of students in primary education who are female (%),Bolivia (Plurinational State of),2004,48.98155,
Percentage of students in primary education who are female (%),Bolivia (Plurinational State of),2006,49.01107,
Percentage of students in primary education who are female (%),Bolivia (Plurinational State of),2007,48.97738,
Percentage of students in primary education who are female (%),Bolivia (Plurinational State of),2008,48.86452,
Percentage of students in primary education who are female (%),Bolivia (Plurinational State of),2009,48.72477,
Percentage of students in primary education who are female (%),Bolivia (Plurinational State of),2010,48.67999,
Percentage of students in primary education who are female (%),Bolivia (Plurinational State of),2011,48.63205,
Percentage of students in primary education who are female (%),Brazil,1999,47.73136,
Percentage of students in primary education who are female (%),Brazil,2000,47.69871,
Percentage of students in primary education who are female (%),Brazil,2001,47.75299,
Percentage of students in primary education who are female (%),Brazil,2002,47.73741,
Percentage of students in primary education who are female (%),Brazil,2003,47.7199,
Percentage of students in primary education who are female (%),Brazil,2004,47.70676,+
